Technique Name,Description,Category,Sub-Category,Model Dependency,Example Use Case,Scope Global,Scope Local
SHAP (SHapley Additive exPlanations),"Assigns importance values to each feature by computing their contribution to individual predictions, based on Shapley values from cooperative game theory.",Feature Analysis,Importance and Attribution,Model-Agnostic,Explaining individual predictions in complex models like neural networks or ensemble models.,Yes,Yes
Permutation Importance,Evaluates feature importance by measuring the decrease in model accuracy when a feature's values are randomly shuffled.,Feature Analysis,Importance and Attribution,Model-Agnostic,"Assessing feature importance in models where coefficients are not available, such as tree-based models.",Yes,No
Mean Decrease Impurity (MDI),Calculates feature importance in tree-based models by measuring how much each feature decreases impurity across all trees.,Feature Analysis,Importance and Attribution,Model-Specific,Determining important features in Random Forest classification tasks.,Yes,No
Gini Importance,Measures the total reduction of Gini impurity brought by a feature across all nodes and trees in decision trees and Random Forests.,Feature Analysis,Importance and Attribution,Model-Specific,Selecting important features when building tree-based classification models.,Yes,No
Coefficient Magnitudes (in Linear Models),"Uses the absolute values of coefficients in linear models to represent feature importance, indicating the strength and direction of relationships.",Feature Analysis,Importance and Attribution,Model-Specific,Interpreting which features influence housing price predictions in linear regression.,Yes,No
Integrated Gradients,Attributes feature importance by integrating gradients of the model's output with respect to inputs along a path from a baseline to the actual input.,Feature Analysis,Importance and Attribution,Model-Specific,Understanding pixel contributions in image classification with deep neural networks.,No,Yes
DeepLIFT,"Tracks changes in the output relative to a reference input, decomposing contributions from individual neurons to the final prediction in deep learning models.",Feature Analysis,Importance and Attribution,Model-Specific,Explaining why a neural network classifies an image as a specific object by tracing neuron activations.,No,Yes
Layer-wise Relevance Propagation (LRP),"Explains predictions by backpropagating relevance scores from the output layer to input features, distributing the prediction score layer by layer.",Feature Analysis,Importance and Attribution,Model-Specific,Visualising important regions in medical images for disease diagnosis using deep learning models.,No,Yes
"Variable Importance in Random Forests (MDA, MDG)",Calculates feature importance by measuring the Mean Decrease Accuracy or Mean Decrease Gini when a feature is excluded from Random Forest models.,Feature Analysis,Importance and Attribution,Model-Specific,Identifying key predictors in a Random Forest model for credit scoring.,Yes,No
Contextual Decomposition,Interprets neural networks by decomposing activations to explain predictions based on contributions of individual features or groups.,Feature Analysis,Importance and Attribution,Model-Specific,Explaining sentiment predictions in text by attributing scores to words or phrases.,No,Yes
Taylor Decomposition,Decomposes predictions into contributions from individual features using a Taylor series expansion of the model's prediction function.,Feature Analysis,Importance and Attribution,Model-Specific,Attributing feature contributions in complex models for specific predictions.,No,Yes
Sobol Indices,Quantifies the contribution of individual variables and their interactions to the output variance in sensitivity analysis.,Feature Analysis,Interaction Analysis,Model-Agnostic,Understanding parameter impacts in environmental modeling outputs.,Yes,No
Feature Interaction Detection (H-statistic),Measures feature interaction by comparing joint contributions to the model with the sum of individual contributions.,Feature Analysis,Interaction Analysis,Model-Agnostic,Identifying significant interactions in healthcare predictive models.,Yes,No
LIME (Local Interpretable Model-Agnostic Explanations),Generates local surrogate models that approximate complex model behaviour around a specific instance using interpretable models like linear models.,Model Approximation,Local Surrogates,Model-Agnostic,Explaining why a customer was denied a loan by approximating the model's decision locally.,No,Yes
Ridge Regression Surrogates,"Uses Ridge Regression as a surrogate to approximate global behaviour of complex models, balancing simplicity and interpretability with regularisation.",Model Approximation,Global Surrogates,Model-Agnostic,Summarising complex model behaviour for regulatory reporting in finance.,Yes,No
