id,name,description,model_dependency,assurance_goals,categories,subcategories,attributes,example_use_cases,limitations,resources
1,SHAP (SHapley Additive exPlanations),"Assigns importance values to each feature by computing their contribution to individual predictions, based on Shapley values from cooperative game theory.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}, {""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining individual predictions in complex models like neural networks or ensemble models."", ""goal"": ""Explainability""}]",,[]
2,Permutation Importance,Evaluates feature importance by measuring the decrease in model accuracy when a feature's values are randomly shuffled.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Assessing feature importance in models where coefficients are not available, such as tree-based models."", ""goal"": ""Explainability""}]",,[]
3,Mean Decrease Impurity (MDI),Calculates feature importance in tree-based models by measuring how much each feature decreases impurity across all trees.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Determining important features in Random Forest classification tasks."", ""goal"": ""Explainability""}]",,[]
4,Gini Importance,Measures the total reduction of Gini impurity brought by a feature across all nodes and trees in decision trees and Random Forests.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Selecting important features when building tree-based classification models."", ""goal"": ""Explainability""}]",,[]
5,Coefficient Magnitudes (in Linear Models),"Uses the absolute values of coefficients in linear models to represent feature importance, indicating the strength and direction of relationships.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Interpreting which features influence housing price predictions in linear regression."", ""goal"": ""Explainability""}]",,[]
6,Integrated Gradients,Attributes feature importance by integrating gradients of the model's output with respect to inputs along a path from a baseline to the actual input.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding pixel contributions in image classification with deep neural networks."", ""goal"": ""Explainability""}]",,[]
7,DeepLIFT,"Tracks changes in the output relative to a reference input, decomposing contributions from individual neurons to the final prediction in deep learning models.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a neural network classifies an image as a specific object by tracing neuron activations."", ""goal"": ""Explainability""}]",,[]
8,Layer-wise Relevance Propagation (LRP),"Explains predictions by backpropagating relevance scores from the output layer to input features, distributing the prediction score layer by layer.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Visualising important regions in medical images for disease diagnosis using deep learning models."", ""goal"": ""Explainability""}]",,[]
9,"Variable Importance in Random Forests (MDA, MDG)",Calculates feature importance by measuring the Mean Decrease Accuracy or Mean Decrease Gini when a feature is excluded from Random Forest models.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying key predictors in a Random Forest model for credit scoring."", ""goal"": ""Explainability""}]",,[]
10,Contextual Decomposition,Interprets neural networks by decomposing activations to explain predictions based on contributions of individual features or groups.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining sentiment predictions in text by attributing scores to words or phrases."", ""goal"": ""Explainability""}]",,[]
11,Taylor Decomposition,Decomposes predictions into contributions from individual features using a Taylor series expansion of the model's prediction function.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Attributing feature contributions in complex models for specific predictions."", ""goal"": ""Explainability""}]",,[]
12,Sobol Indices,Quantifies the contribution of individual variables and their interactions to the output variance in sensitivity analysis.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Interaction Analysis""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Understanding parameter impacts in environmental modeling outputs."", ""goal"": ""Explainability""}]",,[]
