id,name,description,model_dependency,assurance_goals,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating,category_tags
1,SHapley Additive exPlanations (SHAP),"SHAP explains the impact of each feature on a prediction based on Shapley values from cooperative game theory, explicitly assuming feature independence, thus quantifying contributions to predictions in a globally consistent and locally accurate manner.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}, {""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a complex model (like a neural network) made a specific prediction by showing how each feature influenced that prediction."", ""goal"": ""Explainability""}, {""description"": ""Identifying which factors contributed most to a loan approval decision in a financial model using SHAP values."", ""goal"": ""Explainability""}]","[{""description"": ""Assumes feature independence, so results can be less reliable when features are highly correlated.""}, {""description"": ""Computationally intensive for large models or datasets (calculating many Shapley values is slow).""}]","[{""type"": ""Paper"", ""title"": ""A Unified Approach to Interpreting Model Predictions (NIPS 2017)"", ""url"": ""https://doi.org/10.5555/3295222.3295230""}]",3,3,#feature-analysis/importance-and-attribution
2,Permutation Importance,"Permutation importance measures a feature's importance by shuffling its values and observing the impact on model performance. If the model's accuracy drops significantly when a feature is permuted, that feature is considered important.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Assessing which features are most important in a trained Random Forest by measuring performance drop when each feature's values are shuffled."", ""goal"": ""Explainability""}, {""description"": ""Checking that a model is not relying on an irrelevant field by confirming that shuffling that field doesn't change the model's accuracy."", ""goal"": ""Explainability""}]","[{""description"": ""Can be misleading when features are correlated, and computationally expensive on high-dimensional datasets due to repetitive model evaluations.""}]","[{""type"": ""Transparency"", ""title"": ""Permutation Feature Importance - Scikit-learn Guide"", ""url"": ""https://scikit-learn.org/stable/modules/permutation_importance.html""}]",2,2,#feature-analysis/importance-and-attribution
3,Mean Decrease Impurity,"Mean Decrease Impurity evaluates feature importance by calculating the reduction in impurity across all splits in tree-based models, typically biased towards numerical features with many distinct values or categories.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Determining important features in Random Forest classification tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Biased towards features with more splits or categories; only applicable to tree-based models and can overestimate importance of high-cardinality features.""}]","[{""type"": ""Transparency"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,1,#feature-analysis/importance-and-attribution
4,Gini Importance,"Gini importance sums the total reduction in Gini impurity across all splits, essentially identical to Mean Decrease Impurity (MDI), sharing its biases and limitations.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Selecting important features when building tree-based classification models."", ""goal"": ""Explainability""}]","[{""description"": ""Tends to inflate importance for features with many values; like MDI, it is specific to tree models and not reliable for comparing across different model types.""}]","[{""type"": ""Transparency"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,1,#feature-analysis/importance-and-attribution
5,Coefficient Magnitudes (in Linear Models),"Examines the absolute values of coefficients in linear models to judge feature influence. Features with larger absolute coefficients have a stronger impact on the prediction, and the sign of a coefficient shows if it pushes the outcome up or down.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Interpreting which features influence housing price predictions in linear regression."", ""goal"": ""Explainability""}]","[{""description"": ""Only valid for linear relationships; can be affected by feature scaling and multicollinearity, and does not capture non-linear importance.""}]","[{""type"": ""Tutorial"", ""title"": ""Interpreting Regression Coefficients"", ""url"": ""https://www.theanalysisfactor.com/interpreting-regression-coefficients/""}]",1,1,#feature-analysis/importance-and-attribution
6,Integrated Gradients,Integrated Gradients attributes each feature's contribution by accumulating the gradients of the model's output with respect to that feature as the input moves from a baseline value to its actual value. This results in a score for each feature that reflects how much it influenced the prediction compared to a reference baseline.,Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding pixel contributions in image classification with deep neural networks."", ""goal"": ""Explainability""}]","[{""description"": ""Requires a meaningful baseline input; results can be sensitive to the choice of baseline and model must be differentiable, limiting use with non-differentiable components.""}]","[{""type"": ""Paper"", ""title"": ""Axiomatic Attribution for Deep Networks (Integrated Gradients, 2017)"", ""url"": ""https://arxiv.org/abs/1703.01365""}]",4,3,#feature-analysis/importance-and-attribution
7,DeepLIFT,DeepLIFT assigns credit (or blame) to each input feature by comparing a neuron's activation to a reference (baseline) and tracking the difference backward through the network. It attributes the change in the output to changes in each input feature relative to what the output would be at the reference input.,Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a neural network classifies an image as a specific object by tracing neuron activations."", ""goal"": ""Explainability""}]","[{""description"": ""Needs careful configuration for each network architecture; may produce inconsistent scores if multiple reference points are possible, and not all model types supported.""}]","[{""type"": ""Paper"", ""title"": ""Learning Important Features Through Propagating Activation Differences (DeepLIFT, 2017)"", ""url"": ""https://arxiv.org/abs/1704.02685""}]",4,3,#feature-analysis/importance-and-attribution
8,Layer-wise Relevance Propagation (LRP),"LRP explains a model's prediction by propagating the result backwards through the network and assigning a relevance score to each input feature. Starting from the predicted output, it distributes the 'relevance' of that output to neurons in each preceding layer, all the way back to the input features, indicating how each feature contributed.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Visualising important regions in medical images for disease diagnosis using deep learning models."", ""goal"": ""Explainability""}]","[{""description"": ""Requires tailored rules for each layer type; results can sometimes be hard to interpret (negative relevances), and implementation is complex for new architectures.""}]","[{""type"": ""Paper"", ""title"": ""On Pixel-Wise Explanations by Layer-Wise Relevance Propagation (Bach et al., 2015)"", ""url"": ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130140""}]",5,3,#feature-analysis/importance-and-attribution
9,Variable Importance in Random Forests (MDA MDG),"Random Forest algorithms can provide two types of feature importance: Mean Decrease Accuracy (MDA) measures how model accuracy decreases when a feature is permuted, while Mean Decrease Gini (MDG) measures how each feature contributes to node purity in the forest. Together, they provide different perspectives on which features drive the model's decisions.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying key predictors in a Random Forest model for credit scoring."", ""goal"": ""Explainability""}]","[{""description"": ""Permutation importance (MDA) shares limitations with correlated features; Gini importance (MDG) biases towards continuous or high-cardinality features.""}]","[{""type"": ""Transparency"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,2,#feature-analysis/importance-and-attribution
10,Contextual Decomposition,"Contextual Decomposition interprets neural network predictions by breaking down the model's output into parts attributed to specific input features or groups of features. It isolates the contribution of a particular input (or a combination of inputs) to the final prediction, taking into account the context provided by the other inputs.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining sentiment predictions in text by attributing scores to words or phrases."", ""goal"": ""Explainability""}]","[{""description"": ""Primarily designed for LSTMs; not widely implemented in standard libraries, requiring custom code, and may not scale well to very deep or different model types.""}]","[{""type"": ""Paper"", ""title"": ""Beyond Word Importance: Contextual Decomposition (Murdoch et al., 2018)"", ""url"": ""https://openreview.net/forum?id=rkRwGg-0Z""}, {""type"": ""GitHub"", ""title"": ""ContextualDecomposition Repository"", ""url"": ""https://github.com/jamie-murdoch/ContextualDecomposition""}]",5,3,#feature-analysis/importance-and-attribution
