id,name,description,model_dependency,assurance_goals,categories,subcategories,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating
1,SHAP (SHapley Additive exPlanations),"Assigns importance values to each feature by computing their contribution to individual predictions, based on Shapley values from cooperative game theory.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}, {""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining individual predictions in complex models like neural networks or ensemble models."", ""goal"": ""Explainability""}]","[{""description"": ""Computationally expensive for large models or many features; assumptions like feature independence can affect accuracy of explanations.""}]","[{""type"": ""Paper"", ""title"": ""A Unified Approach to Interpreting Model Predictions (NIPS 2017)"", ""url"": ""https://arxiv.org/abs/1705.07874""}, {""type"": ""GitHub"", ""title"": ""SHAP Library"", ""url"": ""https://github.com/slundberg/shap""}]",3,3
2,Permutation Importance,Evaluates feature importance by measuring the decrease in model accuracy when a feature's values are randomly shuffled.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Assessing feature importance in models where coefficients are not available, such as tree-based models."", ""goal"": ""Explainability""}]","[{""description"": ""Can be misleading when features are correlated, since importance may be shared; requires retraining or multiple model evaluations per feature.""}]","[{""type"": ""Documentation"", ""title"": ""Permutation Feature Importance - Scikit-learn Guide"", ""url"": ""https://scikit-learn.org/stable/modules/permutation_importance.html""}]",2,2
3,Mean Decrease Impurity (MDI),Calculates feature importance in tree-based models by measuring how much each feature decreases impurity across all trees.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Determining important features in Random Forest classification tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Biased towards features with more splits or categories; only applicable to tree-based models and can overestimate importance of high-cardinality features.""}]","[{""type"": ""Documentation"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,1
4,Gini Importance,Measures the total reduction of Gini impurity brought by a feature across all nodes and trees in decision trees and Random Forests.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Selecting important features when building tree-based classification models."", ""goal"": ""Explainability""}]","[{""description"": ""Tends to inflate importance for features with many values; like MDI, it is specific to tree models and not reliable for comparing across different model types.""}]","[{""type"": ""Documentation"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,1
5,Coefficient Magnitudes (in Linear Models),"Examines coefficients in linear models to gauge feature influence; larger absolute values imply stronger impact on the outcome (with coefficient sign indicating direction).",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Interpreting which features influence housing price predictions in linear regression."", ""goal"": ""Explainability""}]","[{""description"": ""Only valid for linear relationships; can be affected by feature scaling and multicollinearity, and does not capture non-linear importance.""}]","[{""type"": ""Tutorial"", ""title"": ""Interpreting Regression Coefficients"", ""url"": ""https://www.theanalysisfactor.com/interpreting-regression-coefficients/""}]",1,1
6,Integrated Gradients,Attributes feature importance by integrating gradients of the model's output with respect to inputs along a path from a baseline to the actual input.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding pixel contributions in image classification with deep neural networks."", ""goal"": ""Explainability""}]","[{""description"": ""Requires a meaningful baseline input; results can be sensitive to the choice of baseline and model must be differentiable, limiting use with non-differentiable components.""}]","[{""type"": ""Paper"", ""title"": ""Axiomatic Attribution for Deep Networks (Integrated Gradients, 2017)"", ""url"": ""https://arxiv.org/abs/1703.01365""}]",4,3
7,DeepLIFT,"Tracks changes in the output relative to a reference input, decomposing contributions from individual neurons to the final prediction in deep learning models.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a neural network classifies an image as a specific object by tracing neuron activations."", ""goal"": ""Explainability""}]","[{""description"": ""Needs careful configuration for each network architecture; may produce inconsistent scores if multiple reference points are possible, and not all model types supported.""}]","[{""type"": ""Paper"", ""title"": ""Learning Important Features Through Propagating Activation Differences (DeepLIFT, 2017)"", ""url"": ""https://arxiv.org/abs/1704.02685""}]",4,3
8,Layer-wise Relevance Propagation (LRP),"Explains predictions by backpropagating relevance scores from the output layer to input features, distributing the prediction score layer by layer.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Visualising important regions in medical images for disease diagnosis using deep learning models."", ""goal"": ""Explainability""}]","[{""description"": ""Requires tailored rules for each layer type; results can sometimes be hard to interpret (negative relevances), and implementation is complex for new architectures.""}]","[{""type"": ""Paper"", ""title"": ""On Pixel-Wise Explanations by Layer-Wise Relevance Propagation (Bach et al., 2015)"", ""url"": ""https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130140""}]",5,3
9,"Variable Importance in Random Forests (MDA, MDG)",Calculates feature importance by measuring the Mean Decrease Accuracy or Mean Decrease Gini when a feature is excluded from Random Forest models.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying key predictors in a Random Forest model for credit scoring."", ""goal"": ""Explainability""}]","[{""description"": ""Permutation importance (MDA) shares limitations with correlated features; Gini importance (MDG) biases towards continuous or high-cardinality features.""}]","[{""type"": ""Documentation"", ""title"": ""Feature Importance Measures in Random Forests (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/auto_examples/ensemble/plot_forest_importances.html""}]",2,2
10,Contextual Decomposition,Interprets neural networks by decomposing activations to explain predictions based on contributions of individual features or groups.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining sentiment predictions in text by attributing scores to words or phrases."", ""goal"": ""Explainability""}]","[{""description"": ""Primarily designed for LSTMs; not widely implemented in standard libraries, requiring custom code, and may not scale well to very deep or different model types.""}]","[{""type"": ""Paper"", ""title"": ""Beyond Word Importance: Contextual Decomposition (Murdoch et al., 2018)"", ""url"": ""https://openreview.net/forum?id=rkRwGg-0Z""}, {""type"": ""GitHub"", ""title"": ""ContextualDecomposition Repository"", ""url"": ""https://github.com/jamie-murdoch/ContextualDecomposition""}]",5,3
